session,right_contrast,left_contrast,prev_ans,bias,choice
0.0,0.987,0.0,0.05417732925159369,1.0,1.0
0.0,0.987,0.0,0.26339256337445366,1.0,0.0
0.0,0.987,0.0,-0.016068882317386013,1.0,1.0
0.0,0.987,0.0,0.20868475879673268,1.0,0.0
0.0,0.0,0.987,-0.05867536336263249,1.0,0.0
0.0,0.987,0.0,-0.26689563586241255,1.0,1.0
0.0,0.987,0.0,0.01334068672060773,1.0,1.0
0.0,0.0,0.987,0.23158895419331474,1.0,0.0
0.0,0.987,0.0,-0.040837558052153916,1.0,1.0
0.0,0.0,0.987,0.18939489473885374,1.0,0.0
0.0,0.0,0.987,-0.07369832459624956,1.0,0.0
0.0,0.0,0.987,-0.27859552983520486,1.0,1.0
0.0,0.0,1.0,0.004228800132744653,1.0,1.0
0.0,0.987,0.0,0.22449260978342914,1.0,1.0
0.0,0.987,0.0,0.3960342372216731,1.0,1.0
0.0,0.987,0.0,0.5296309909999206,1.0,1.0
0.0,0.987,0.0,0.6336762474582175,1.0,0.0
0.0,1.0,0.0,0.27230834080561395,1.0,0.0
0.0,0.0,0.987,-0.009125267872308024,1.0,0.0
0.0,0.0,0.987,-0.22830598269328498,1.0,0.0
0.0,0.987,0.0,-0.3990040950300121,1.0,0.0
0.0,0.0,0.987,-0.5319439185866658,1.0,1.0
0.0,0.0,0.987,-0.19307912341677183,1.0,0.0
0.0,0.987,0.0,-0.3715693894403175,1.0,0.0
0.0,1.0,0.0,-0.5105777483900782,1.0,0.0
0.0,0.0,0.987,-0.6188375671936228,1.0,0.0
0.0,0.0,0.987,-0.7031503988529917,1.0,1.0
0.0,0.0,1.0,-0.3264148643150855,1.0,0.0
0.0,0.0,1.0,-0.47541136886333013,1.0,0.0
0.0,0.0,1.0,-0.5914499632804051,1.0,0.0
0.0,0.0,1.0,-0.6818209114789283,1.0,0.0
0.0,0.0,1.0,-0.7522018767028436,1.0,1.0
0.0,0.0,0.987,-0.3646161936753598,1.0,0.0
0.0,0.0,0.987,-0.5051625940834804,1.0,1.0
0.0,0.0,0.987,-0.17222180692200165,1.0,1.0
0.0,1.0,0.0,0.08707273883576797,1.0,1.0
0.0,0.0,1.0,0.2890115341180632,1.0,1.0
0.0,0.0,0.987,0.4462816260164108,1.0,0.0
0.0,0.0,0.987,0.12636526288336544,1.0,1.0
0.0,0.987,0.0,0.3196125826151841,1.0,1.0
0.0,0.987,0.0,0.4701137465487746,1.0,1.0
0.0,0.987,0.0,0.5873241708734127,1.0,1.0
0.0,0.987,0.0,0.6786077411215726,1.0,0.0
0.0,0.0,1.0,0.3073010232552028,1.0,1.0
0.0,0.0,1.0,0.4605254944783911,1.0,1.0
0.0,0.0,1.0,0.579856832652712,1.0,1.0
0.0,0.0,0.987,0.6727921722678318,1.0,0.0
0.0,0.987,0.0,0.3027718536779038,1.0,1.0
0.0,0.0,0.987,0.45699817366492745,1.0,0.0
0.0,0.0,0.987,0.13471131858385224,1.0,0.0
0.0,0.987,0.0,-0.11628593652690952,1.0,0.0
0.0,0.987,0.0,-0.311762795355944,1.0,1.0
0.0,0.987,0.0,-0.021601892227144176,1.0,1.0
0.0,0.987,0.0,0.20437564634627117,1.0,1.0
0.0,0.0,0.987,0.38036713034379566,1.0,0.0
0.0,0.987,0.0,0.07503100203777605,1.0,0.0
0.0,0.987,0.0,-0.162765013786943,1.0,1.0
0.0,0.0,0.987,0.09443769673469593,1.0,0.0
0.0,0.0,0.987,-0.1476510647601541,1.0,0.0
0.0,0.0,0.987,-0.3361899817851299,1.0,0.0
0.0,0.987,0.0,-0.4830242380036156,1.0,1.0
0.0,0.987,0.0,-0.1549804378710893,1.0,1.0
0.0,0.987,0.0,0.10050033055384158,1.0,0.0
